Time,COP X,COP Y
11.79821,12.22831,-6.998516
11.81511,12.16416,-7.058755
11.83208,12.08631,-7.114562
11.848,12.08631,-7.114562
11.86446,12.03273,-7.128241
11.88103,11.84139,-7.191761
11.8979,11.84139,-7.191761
11.91492,11.58951,-7.249279
11.93073,11.39329,-7.27539
11.94767,11.39329,-7.27539
11.96466,10.97139,-7.28232
11.98057,10.69106,-7.294867
11.99756,10.69106,-7.294867
12.01449,10.04206,-7.323219
12.03062,9.607772,-7.33846
12.0467,9.159212,-7.423972
12.06334,8.786736,-7.476839
12.0803,8.350949,-7.564789
12.0964,8.350949,-7.564789
12.11318,7.35732,-7.797799
12.13014,6.746443,-7.915801
12.14611,6.034186,-8.000606
12.16267,5.209996,-8.117697
12.17923,5.209996,-8.117697
12.19599,3.768233,-8.213316
12.2129,3.213046,-8.281797
12.22988,2.813517,-8.304326
12.24584,2.360868,-8.334477
12.26279,1.958488,-8.403359
12.27879,1.958488,-8.403359
12.2957,1.245515,-8.638197
12.31177,0.9698909,-8.763553
12.32833,0.7938384,-8.84845
12.3449,0.6493849,-8.941365
12.36147,0.5511069,-9.013927
12.37849,0.5511069,-9.013927
12.3946,0.3505249,-9.060573
12.41154,0.3726761,-9.080564
12.42857,0.4619829,-9.065015
12.44434,0.5141251,-9.084541
12.46126,0.677192,-9.09844
12.4782,0.677192,-9.09844
12.494,1.072237,-9.095091
12.51057,1.79757,-9.131325
12.52713,1.79757,-9.131325
12.54405,2.310282,-9.106459
12.561,3.547889,-9.047329
12.57697,3.547889,-9.047329
12.5934,4.828329,-8.97687
12.60997,5.349268,-8.885882
12.62653,5.349268,-8.885882
12.6431,6.318561,-8.795783
12.65975,6.318561,-8.795783
12.67623,7.1991,-8.648363
12.6928,7.1991,-8.648363
12.70962,7.575418,-8.610141
12.72657,8.30238,-8.553013
12.74265,8.30238,-8.553013
12.75963,8.30238,-8.553013
12.77565,8.929255,-8.491879
12.79264,8.929255,-8.491879
12.80933,9.115443,-8.425034
12.82533,9.154601,-8.403462
12.8419,9.247325,-8.388503
12.85847,9.247325,-8.388503
12.87541,9.390897,-8.269542
12.89229,9.439311,-8.218763
12.9083,9.480038,-8.139668
