Time,Trial Number,Score,Time Fruit Spent Falling,Caught fruit?,COP X,COP Y,Spawn Location Difficulty,User Size Difficulty,Fall Speed Difficulty,User Sensitivity Difficulty,Fruit Size Difficulty,Spawn Frequency Difficulty,Exploration Mode
13.04,1,10,1.242505,YES,9.6268,-7.796029,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,FORCED
15.78,2,20,0.9779124,YES,4.983457,-6.620961,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,FORCED
19.38573,3,20,1.8389,NO,3.37465,-7.326523,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
21.7,4,30,1.126263,YES,1.566268,-9.806049,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,VERY HARD,FORCED
24.66,5,40,1.076603,YES,-8.201282,-6.997669,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,FORCED
27.66,6,50,1.309068,YES,-10.73319,-6.671154,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,FORCED
30.26,7,60,1.158743,YES,10.53054,-2.301375,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
32.76,8,70,0.8946815,YES,6.905486,-4.62786,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,FORCED
37.12865,9,70,2.252758,NO,8.565302,-0.04828739,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,FORCED
38.8,10,80,0.8946037,YES,2.353276,-4.676468,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,FORCED
41.68,11,90,1.026632,YES,2.313542,-2.061684,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
44.58,12,100,0.9112354,YES,2.917924,-5.213695,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,FORCED
48.04,13,110,1.359134,YES,-7.169111,-7.583687,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,FORCED
50.9,14,120,1.474434,YES,-0.9277858,-8.747058,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
53.5,15,130,1.059872,YES,-6.89118,-7.642933,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,FORCED
56.28,16,140,1.059811,YES,0.4748177,-2.285126,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
59.24,17,150,1.010535,YES,-9.065878,-7.844914,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,VERY HARD,FORCED
62.12,18,160,1.127152,YES,2.486864,-3.605564,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
65.98853,19,160,2.252971,NO,1.216692,-1.772023,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
67.8,20,170,1.044145,YES,-8.244003,-7.712119,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,FORCED
70.88,21,180,1.110739,YES,-1.628274,-3.365117,VERY HARD,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,FORCED
74.76897,22,180,2.253933,NO,-2.649045,-3.44758,VERY HARD,VERY HARD,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,FORCED
76.72,23,190,1.44171,YES,-3.543356,-8.712388,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
79.42,24,200,1.375034,YES,7.273163,-8.162283,VERY HARD,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
82.38,25,210,1.325009,YES,3.531181,-6.456526,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,VERY HARD,FORCED
85.5,26,220,1.423961,YES,-10.43399,-9.052909,VERY HARD,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,FORCED
88.66766,27,220,1.838724,NO,14.75961,-8.026297,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
90.57999,28,230,0.9778329,YES,-10.43952,-6.636925,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
94.20088,29,230,1.838983,NO,-1.374637,-5.688138,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
96.24,30,240,1.126351,YES,1.033352,-2.927346,VERY HARD,VERY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
98.93999,31,250,1.059743,YES,-6.305783,-7.337049,VERY HARD,VERY HARD,EXTREMELY HARD,VERY HARD,EXTREMELY HARD,EXTREMELY HARD,FORCED
